"T0";"T30";"T60";"T90";"T120";"T180";"Treat"
6,12;8,9;8,8;6,4;6,8;12,4;"cont"
9;5,7;5,9;7,6;5,1;6,8;"cont"
3,72;6,6;5,6;6,7;8,7;8,6;"cont"
9;10;9,1;5,7;10,8;8,3;"cont"
8,46;6,9;9,4;10,3;9;8,6;"cont"
7,38;7;3,9;8,9;5;4,4;"cont"
8,64;6,7;7,3;5,4;11,8;9,4;"cont"
9;7,5;7,6;8,3;9,9;5,6;"E10"
7,68;11,9;8;8,6;11;15;"E10"
9;10,7;9,1;8,3;10;9,5;"E10"
6,54;7,7;12;13,8;10,9;13,9;"E10"
8,4;6,3;7,8;5,7;9,2;7;"E10"
9;11,1;9,4;9,3;12;9,4;"E10"
6;5,8;12,1;10,3;8,4;10,3;"E10"
4,44;11,8;9,6;15;8,6;9,5;"E30"
6,54;5,6;8,7;8,3;9,3;8,7;"E30"
9;15;10,1;9,1;8,9;7,8;"E30"
8,94;9,8;11,3;12,8;9,8;11,9;"E30"
9;7,7;9,7;8,3;6,8;7,8;"E30"
5,16;9,9;8,5;10,3;10,7;8,2;"E30"
8,64;9,7;9,6;10,7;10,5;12,8;"E30"
6,18;15;15;15;15;15;"E100"
9;15;15;15;15;15;"E100"
4,92;15;14,6;14,9;15;15;"E100"
6,96;15;15;15;14;15;"E100"
8,52;15;15;12,6;15;15;"E100"
3;15;15;13,7;15;15;"E100"
8,52;15;15;13,6;15;15;"E100"
